# IPFilter.dat
#
# All entered IP ranges will be blocked in eMule Plus for both Upload and Download.
# Be extremely careful with what you put here.
# Wrong entries might block eMule Plus from performing well.
#
# Format:
# IP-Range , Access Level , Description
# 000.000.000.000 - 000.255.255.255 , 100 , LOW_ID (invalid)
#
# Access Levels:
# <  127 blocked
# >= 127 permitted

064.227.000.000 - 064.227.255.255 , 100 , MPAA
064.236.032.050 - 064.236.032.050 , 100 , xupiter.com
064.241.031.000 - 064.241.031.255 , 100 , RIAA
065.101.193.000 - 065.101.193.255 , 100 , media signature Virtual Portal Corporation
065.118.041.000 - 065.118.041.255 , 100 , Cyveillance (P2P monitoring)
065.160.000.000 - 065.160.127.225 , 100 , OverPeer
065.174.000.000 - 065.174.253.255 , 100 , OverPeer
065.174.254.000 - 065.174.255.255 , 100 , BAY SOFTWARE
065.192.000.000 - 065.192.000.255 , 100 , Media Force (P2P monitoring)
065.215.219.000 - 065.215.219.255 , 100 , IRC spybots
065.217.219.000 - 065.217.219.255 , 100 , Media Force (P2P monitoring)
065.223.000.000 - 065.223.255.255 , 100 , MediaForce (Obsidian Holdings)
065.233.255.000 - 065.233.255.255 , 100 , Media Force (P2P monitoring)
065.243.215.000 - 065.243.215.063 , 100 , MediaForce
065.244.101.001 - 065.244.101.255 , 100 , betis.com ==> RIAA Host
065.247.105.240 - 065.247.105.255 , 100 , MediaForce
066.028.103.000 - 066.028.103.255 , 100 , Bogus File Server
066.028.148.000 - 066.028.148.255 , 100 , CogentSystems
066.028.151.000 - 066.028.151.255 , 100 , Bogus File Server
066.035.229.000 - 066.035.229.255 , 100 , GainCME (Spyware)
066.035.247.000 - 066.035.247.255 , 100 , GainCME (Spyware)
066.077.124.007 - 066.077.124.007 , 100 , Universal Studios (ns3.mca.com)
066.079.000.000 - 066.079.255.255 , 100 , MediaDefender (P2P fakes/spam/monitoring)
066.111.054.167 - 066.111.054.182 , 100 , Replies with .html
066.111.055.150 - 066.111.055.165 , 100 , Fake Files Source
066.113.128.000 - 066.113.255.255 , 100 , RIAA (Hostway Corp)
066.117.002.000 - 066.117.002.255 , 100 , XBMC.COM
066.118.165.120 - 066.118.165.120 , 100 , AVI Faker
066.118.165.180 - 066.118.165.180 , 100 , AVI Faker
066.118.181.004 - 066.118.181.004 , 100 , P2P Scanner
066.150.161.133 - 066.150.161.136 , 100 , Retspan
066.212.125.000 - 066.212.125.255 , 100 , BMI (Broadcast Music, Inc. )
066.220.031.128 - 066.220.031.159 , 100 , Audible Magic #1 (Correction. Please Remove Other)
066.230.219.137 - 066.230.219.137 , 100 , popupad.net (Annoying but not *AA)
066.250.024.002 - 066.250.024.009 , 100 , Bogus File Server
066.250.032.227 - 066.250.032.242 , 100 , Cogent Systems
066.252.128.000 - 066.252.143.255 , 100 , MPAA
068.055.066.177 - 068.055.066.177 , 100 , Hacking, Port Scanning
069.028.148.033 - 069.028.148.033 , 100 , limelight networks
080.078.128.000 - 080.078.129.255 , 100 , BSA.mr
080.239.022.064 - 080.239.022.127 , 100 , Secure Group
081.000.202.000 - 081.000.202.255 , 100 , www.BSA.sk
081.000.210.152 - 081.000.210.152 , 100 , Replies with search>_cool.mpg
081.016.038.000 - 081.016.038.031 , 100 , BSA.at
081.091.161.000 - 081.091.161.031 , 100 , IFPI Germany
081.101.016.009 - 081.101.016.009 , 100 , Fakefinder
081.220.198.171 - 081.220.198.171 , 100 , ???
081.220.198.253 - 081.220.198.253 , 100 , ???
081.240.072.127 - 081.240.072.127 , 100 , eMule leechers on Skynet.be
128.121.215.173 - 128.121.215.173 , 100 , BSA.org
128.241.000.000 - 128.241.255.255 , 100 , NetPD
129.250.002.220 - 129.250.002.220 , 100 , Right Track Studios/New York
129.250.005.115 - 129.250.005.115 , 100 , World Music Group
130.094.000.000 - 130.094.255.255 , 100 , Crescent Moon Studios/Miami, FL
140.113.000.000 - 140.113.255.255 , 100 , Ministry of Education Computer Center
142.145.000.000 - 142.145.255.255 , 100 , Government Of The Province Of Ontario (Canada)
143.001.000.000 - 143.040.255.255 , 100 , The Procter and Gamble Company
144.232.000.000 - 144.232.255.255 , 100 , Chicago Recording Company and Ardent Studios UK and Remote Recording Services/New York/Philadelphia
145.228.000.000 - 145.228.255.255 , 100 , Bertelsmann group world wide (includes BMG Music)
145.253.163.128 - 145.253.163.143 , 100 , WILD-NET
145.253.172.032 - 145.253.172.047 , 100 , Aug. Prien Bauunternehmung ???
146.082.174.000 - 146.082.174.255 , 100 , RIAA
147.186.254.000 - 147.186.254.255 , 100 , Swedish Police
149.101.000.000 - 149.101.255.255 , 100 , US Department of Justices
150.187.000.000 - 150.187.255.255 , 100 , Consejo Nacional de Investigaciones
151.037.099.001 - 151.037.099.001 , 100 , UNASIGNED ?
152.019.000.000 - 152.019.255.255 , 100 , North Carolina Research and Education Network
152.023.000.000 - 152.023.255.255 , 100 , North Carolina Research and Education Network
152.063.018.025 - 152.063.018.025 , 100 , National Music Publishers of America
152.063.066.013 - 152.063.066.013 , 100 , misra records
152.063.113.057 - 152.063.113.057 , 100 , Verve Music Group/Los Angeles Ca
152.063.113.065 - 152.063.113.065 , 100 , Universal Music Enterprises/Los Angeles
152.063.113.069 - 152.063.113.069 , 100 , Universal Music Group/(Motown Records)/Los Angeles Ca/MCA Records
153.031.000.000 - 153.031.255.255 , 100 , Federal Bureau of Investigation - CJIS
157.086.113.004 - 157.086.113.004 , 100 , ???
158.044.000.000 - 158.044.255.255 , 100 , TriGem
158.169.000.000 - 158.169.255.255 , 100 , European Union
159.141.000.000 - 159.141.255.255 , 100 , Eisenhower Medical Center
162.023.000.000 - 162.023.255.255 , 100 , Swiss Federal Government, Swiss Federal Office of Information Technology and Systems, Bundesamt fur Informatik
162.033.154.069 - 162.033.154.069 , 100 , Secret paysite passwords .html
164.128.037.017 - 164.128.223.145 , 100 , Police of Switzerland
166.063.167.010 - 166.063.167.010 , 100 , British Phonographic Industry
166.090.148.200 - 166.090.148.200 , 100 , Metro-Goldwyn-Mayer
166.121.000.000 - 166.121.255.255 , 100 , Ministry of Education Computer Services
167.167.000.000 - 167.167.255.255 , 100 , MCA
168.160.250.191 - 168.160.250.191 , 100 , Unknown..persistent connection attempts (revised)
168.161.000.000 - 168.161.255.255 , 100 , Time Warner Inc
172.015.254.254 - 172.015.254.254 , 100 , not resolvable (whois)
172.178.102.003 - 172.178.102.003 , 100 , BayTSP ?? Port : 3131
174.049.006.232 - 174.049.006.232 , 100 , ???
177.107.170.085 - 177.107.170.085 , 100 , not resolvable (whois)
179.089.033.173 - 179.089.033.173 , 100 , not resolvable (whois)
179.099.212.077 - 179.099.212.077 , 100 , ???
180.001.171.001 - 180.001.171.001 , 100 , ???
180.013.170.085 - 180.013.170.085 , 100 , ???
183.102.156.223 - 183.102.156.223 , 100 , ???
184.073.111.018 - 184.073.111.018 , 100 , not resolvable (whois)
190.051.073.131 - 190.051.073.131 , 100 , not resolvable (whois)
190.100.000.001 - 190.100.000.001 , 100 , ???
192.001.001.000 - 192.001.001.255 , 100 , Bolt Beranek and Newman Inc
192.083.166.000 - 192.083.166.255 , 100 , Ministry of Education Computer Center (tw)
192.108.053.001 - 192.108.053.031 , 100 , When-U
192.188.162.000 - 192.188.162.255 , 100 , Palisade Systems
192.205.000.000 - 192.205.255.255 , 100 , http://www.worldstudio.com/ peer to peer monitoring on winmx
192.251.066.000 - 192.251.066.255 , 100 , Universal Studios
192.251.067.009 - 192.251.067.009 , 100 , Universal Studios (gate.mca.com)
192.251.067.132 - 192.251.067.132 , 100 , Universal Studios (ns2.mca.com)
193.005.088.000 - 193.005.095.255 , 100 , World Intellectual Property Organization
193.074.019.000 - 193.074.019.255 , 100 , IFPI Belgium
193.108.008.000 - 193.108.015.255 , 100 , GEMA - German Copyright Society
193.111.198.139 - 193.111.199.193 , 100 , RIPE Network Coordination Centre
193.121.026.001 - 193.121.027.255 , 100 , Sabam (Belgian Society of Authors, Composers and Publishers)
193.121.083.001 - 193.121.083.255 , 100 , Federale politie - Police federale (BELGIUM)
193.158.124.000 - 193.158.125.255 , 100 , IFPI Germany
193.172.176.000 - 193.172.177.255 , 100 , Dutch Covernment
193.191.209.192 - 193.191.209.207 , 100 , Belgium Federal Government
193.251.047.158 - 193.251.047.158 , 100 , France Telecom
193.252.029.094 - 193.252.029.094 , 100 , France Telecom
193.252.072.142 - 193.252.072.142 , 100 , French Department of Defense
193.252.228.000 - 193.252.228.255 , 100 , Prefecture de police de Paris
193.253.178.142 - 193.253.178.142 , 100 , France Telecom
193.253.183.188 - 193.253.183.188 , 100 , France Telecom
193.253.232.167 - 193.253.232.167 , 100 , France Telecom
194.079.208.000 - 194.079.208.255 , 100 , it.cw.net used by Guardia di Finanza (Italy)
194.089.205.000 - 194.089.205.255 , 100 , Finnish Police
194.102.077.000 - 194.102.077.255 , 100 , Ogilvy & Mather advertising
194.129.073.000 - 194.129.073.255 , 100 , www.emigroup.com
194.179.107.029 - 194.179.107.029 , 100 , Direccion General de la Guardia Civil
194.179.107.131 - 194.179.107.131 , 100 , Direccion General de la Guardia Civil (Spain)
194.194.240.000 - 194.194.240.255 , 100 , Teosto
194.213.194.037 - 194.213.194.037 , 100 , Replies with .url and .mpg
194.213.210.000 - 194.213.210.255 , 100 , BSA.cz
194.228.211.204 - 194.228.211.204 , 100 , Replies with .mpg .html .url
195.000.000.000 - 195.000.007.255 , 100 , Audit Services, Tax Consultants
195.002.039.000 - 195.002.039.255 , 100 , Sony Europe Front Network
195.006.115.038 - 195.006.115.038 , 100 , APP
195.013.160.032 - 195.013.160.163 , 100 , www.BSA.lv
